,cohort,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017
1,01/01/2016,73.03225806,110,0,95.5,0,73.25,69.57142857,45,114.3333333,77.625,103.6666667,92.25,116.6666667,66.6,55,140,39,62.25,43.16666667,0,96.5,115.75,179,64.875
2,01/02/2016,0,91.78571429,74,70.75,66.875,60.2,59,69,71.25,99.33333333,90.375,99.18181818,89.4,60,180,118.25,64.16666667,59.84615385,49.75,76.27272727,81.84615385,121.125,91.75,98.2
3,01/03/2016,0,0,75.18367347,49.76190476,62.16666667,77.69230769,69.55555556,66.89473684,100.9655172,105.3243243,114.875,97.44230769,102.5333333,66,87.93939394,101.4782609,72.97297297,70.1,57.6875,68.64,81.70588235,95.35294118,105.9142857,72.28947368
4,01/04/2016,0,0,0,68.13259669,59.68571429,60.6,60.82758621,82.15384615,80.58064516,140.3448276,139.0285714,89.42,97.10526316,68,63.81818182,96.31428571,69.76666667,80.83333333,57.57692308,78.28125,91.84444444,110.7878788,80.32142857,81.21621622
5,01/05/2016,0,0,0,0,67.42019544,60.54761905,64,99.55555556,88.39285714,140,86.30555556,87.0877193,79.69230769,92.58333333,96.88235294,69.23529412,69.02173913,72.7,95.31818182,72.52,92.55555556,81.02083333,110.6326531,98.48148148
6,01/06/2016,0,0,0,0,0,65.16143498,63.83333333,76.04166667,89.27659574,105.4,98.47619048,71.64,80.94117647,98.55555556,88.44444444,61.375,68.5,60.56521739,55.1,65.73913043,69.475,98,110.5849057,87.97777778
7,01/07/2016,0,0,0,0,0,0,64.38080495,69.73684211,106.5333333,103.15,121.6969697,106.84375,73.69230769,79.53125,69.28571429,89.23333333,81.65217391,70.25806452,68.51428571,63.54545455,72.18181818,85.04651163,87.10204082,67.70909091
8,01/08/2016,0,0,0,0,0,0,0,78.53924051,93.52631579,120.2028986,131.7285714,98.98837209,110.2380952,91.07407407,95.12820513,86.88333333,76.01886792,68.07894737,83.45652174,71,88.59615385,87.28571429,105.3913043,92.69444444
9,01/09/2016,0,0,0,0,0,0,0,0,89.63168724,127.1627907,119.5416667,95.6,80.12,81.71428571,71.3030303,93.63934426,82.76,63.92307692,66.39534884,68.04255319,79.97402597,94.04,110.8412698,97.37
10,01/10/2016,0,0,0,0,0,0,0,0,0,112.7297688,118.1374046,103.1964286,89.25373134,74,87.13207547,87.60655738,99.81666667,77.37096774,83.5,73.14492754,87.69791667,105.4880952,118.1052632,99.46031746
11,01/11/2016,0,0,0,0,0,0,0,0,0,0,113.4239802,102.9725275,92.49275362,88.55,105.7258065,90.94871795,88.63414634,77.36470588,69.58490566,91.5890411,83.14141414,93.25882353,108.4117647,90.06976744
12,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,98.93942134,102.9493671,90.09859155,99.15873016,86.8627451,85.35526316,67.37096774,66.71186441,88.2,87.91346154,104.8876404,106.4964539,95.18145161
13,01/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,100.4771654,83.48684211,91.77272727,85.53846154,74.75714286,61.04615385,72.20689655,90.78378378,75.0733945,97.39534884,98.78125,96.99253731
14,01/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,89.04409449,87.21348315,76.62616822,69.67567568,65.33333333,71.671875,76.78571429,85.32911392,104.1012658,98.89705882,99.42477876
15,01/03/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.19665272,87.61111111,84.91549296,68.31666667,73.93333333,67.95061728,76.22115385,96.20833333,110.3363636,90.78846154
16,01/04/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.80196253,77.74556213,85.48809524,62.7625,80.15625,83.89147287,89.79807692,105.536,89.93220339
17,01/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.2,77.44354839,72,79.94117647,81.58914729,97.96875,97.67701863,91.33098592
18,01/06/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.05854801,80.75,80.3908046,79.48913043,96.06122449,107.3394495,84.05982906
19,01/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.81954023,73.54482759,93.62903226,99.5,101.4324324,89.56435644
20,01/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.97112462,79.72777778,94.54609929,101.2721893,87.19708029
21,01/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.84871245,91.07949791,89.94545455,90.72332016
22,01/10/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.02958904,103.2152589,89.48958333
23,01/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.5507416,94.0738523
24,01/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.64434889
