"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1576624,"paid","desktop","US","female",74,1052,14,9,116.89
"2 - High enders",1570247,"email","mobile","US","female",96,749,9,6,124.83
"1 - Stars",2020820,"direct","desktop","US","female",174,560,14,4,140
"2 - High enders",1462133,"direct","desktop","US","female",6,471,4,3,157
"1 - Stars",1728142,"direct","desktop","US","female",77,465,3,3,155
"2 - High enders",1355673,"paid","mobile","US","female",24,430,4,3,143.33
"2 - High enders",1502394,"paid","desktop","US","female",370,355,1,1,355
"1 - Stars",2298674,"paid","desktop","international","female",31,330,2,1,330
"1 - Stars",1333134,"paid","desktop","US","female",48,330,2,2,165
"1 - Stars",2298349,"paid","mobile","US","female",77,330,2,2,165
"1 - Stars",2340966,"paid","mobile","US","male",81,330,2,2,165
"1 - Stars",2531344,"paid","mobile","US","female",31,330,2,2,165
"1 - Stars",2293837,"organic search","mobile","international","female",70,315,2,1,315
"1 - Stars",1870133,"paid","desktop","US","female",13,315,2,2,157.5
"1 - Stars",2367329,"direct","desktop","US","female",6,315,2,2,157.5
"1 - Stars",1329811,"other","desktop","international","female",196,309,2,1,309
"3 - Cash cows",1740970,"paid","desktop","US","female",98,116,2,2,58
"3 - Cash cows",1788330,"direct","desktop","US","female",129,116,2,2,58
"3 - Cash cows",2186399,"organic search","mobile","US","female",15,116,2,2,58
"3 - Cash cows",1375362,"organic search","mobile","US","female",593,120,2,1,120
"3 - Cash cows",1465889,"email","mobile","international","female",87,120,2,2,60
"3 - Cash cows",2200238,"other","desktop","US","female",102,123,2,2,61.5
"3 - Cash cows",726073,"organic search","desktop","US","female",5,126,2,1,126
"3 - Cash cows",1634816,"organic search","desktop","US","male",15,126,2,1,126
"3 - Cash cows",1808908,"direct","desktop","US","male",18,126,2,1,126
"3 - Cash cows",2313275,"organic search","desktop","US","female",91,126,2,1,126
"3 - Cash cows",2570277,"organic search","desktop","US","female",24,128,2,1,128
"3 - Cash cows",1164075,"email","desktop","international","male",66,128,2,2,64
"3 - Cash cows",806809,"email","desktop","international","female",584,130,2,1,130
"3 - Cash cows",2173545,"other","mobile","US","female",92,130,2,1,130
"3 - Cash cows",1639902,"direct","desktop","US","female",149,134,3,3,44.67
"3 - Cash cows",2214267,"paid","desktop","US","male",13,135,2,2,67.5
"3 - Cash cows",2613536,"direct","desktop","US","male",15,136,2,1,136
"3 - Cash cows",1032212,"organic search","mobile","US","female",515,136,2,2,68
"3 - Cash cows",1034974,"email","mobile","US","female",493,136,2,2,68
"3 - Cash cows",1576454,"organic search","desktop","international","male",254,136,2,2,68
"3 - Cash cows",1633518,"organic search","mobile","US","male",280,136,2,2,68
"3 - Cash cows",1884020,"other","desktop","international","male",115,136,2,2,68
"3 - Cash cows",2138520,"other","desktop","US","female",128,136,2,2,68
"3 - Cash cows",2524597,"paid","desktop","US","female",20,136,2,2,68
"3 - Cash cows",2087382,"organic search","mobile","US","female",29,136,3,3,45.33
"3 - Cash cows",1372785,"direct","desktop","US","female",372,138,2,1,138
"3 - Cash cows",1572218,"organic search","desktop","international","male",385,138,2,2,69
"3 - Cash cows",1645530,"other","desktop","US","female",363,138,2,2,69
"3 - Cash cows",1393422,"organic search","desktop","international","female",587,140,2,1,140
"3 - Cash cows",700212,"direct","desktop","US","female",377,140,2,2,70
"3 - Cash cows",1398918,"other","desktop","US","male",569,140,2,2,70
"3 - Cash cows",1457925,"organic search","desktop","international","female",498,140,2,2,70
"3 - Cash cows",1524924,"paid","desktop","US","female",434,140,2,2,70
"3 - Cash cows",677010,"organic search","desktop","US","female",23,143,2,2,71.5
"3 - Cash cows",1462448,"paid","desktop","US","female",453,145,2,1,145
"3 - Cash cows",1918721,"organic search","mobile","international","female",254,146,2,1,146
"3 - Cash cows",2582904,"paid","desktop","international","female",17,146,2,2,73
"3 - Cash cows",1467417,"paid","desktop","international","female",495,148,2,1,148
"3 - Cash cows",831662,"paid","desktop","US","female",14,148,2,2,74
"3 - Cash cows",1489593,"direct","desktop","US","female",265,148,2,2,74
"3 - Cash cows",2003839,"paid","mobile","US","female",35,148,2,2,74
"3 - Cash cows",2167486,"other","desktop","US","male",98,148,2,2,74
"3 - Cash cows",1486437,"paid","desktop","US","female",478,150,2,1,150
"3 - Cash cows",1524444,"direct","desktop","international","female",447,150,2,1,150
"3 - Cash cows",1593564,"other","mobile","international","male",401,150,2,1,150
"3 - Cash cows",1937605,"direct","mobile","US","female",143,150,2,1,150
"3 - Cash cows",1024795,"direct","desktop","US","female",193,150,2,2,75
"3 - Cash cows",2437608,"direct","mobile","international","female",19,150,2,2,75
"3 - Cash cows",1698207,"direct","desktop","US","male",64,153,2,2,76.5
"3 - Cash cows",1615930,"organic search","desktop","US","female",393,155,2,1,155
"3 - Cash cows",2006073,"paid","mobile","international","male",211,156,2,1,156
"3 - Cash cows",2212800,"paid","desktop","US","female",15,156,2,2,78
"3 - Cash cows",1085560,"direct","desktop","US","male",13,160,2,2,80
"3 - Cash cows",1504981,"other","desktop","US","male",166,160,2,2,80
"3 - Cash cows",1575390,"other","desktop","international","male",355,160,2,2,80
"3 - Cash cows",1620774,"direct","desktop","US","male",319,160,2,2,80
"3 - Cash cows",1662410,"other","desktop","US","male",357,160,2,2,80
"3 - Cash cows",1946243,"paid","desktop","US","female",229,160,2,2,80
"3 - Cash cows",1501503,"organic search","mobile","US","female",34,175,2,1,175
"3 - Cash cows",2295209,"organic search","desktop","US","female",97,175,2,1,175
"3 - Cash cows",2138407,"other","desktop","international","female",149,176,3,1,176
"3 - Cash cows",1478364,"direct","desktop","US","female",19,178,3,2,89
"3 - Cash cows",1601665,"direct","desktop","US","male",78,180,3,1,180
"3 - Cash cows",2402512,"paid","mobile","US","female",20,180,3,2,90
"3 - Cash cows",1698126,"direct","desktop","US","female",351,183,2,1,183
"3 - Cash cows",2580686,"direct","mobile","US","male",20,183,2,1,183
"3 - Cash cows",1379360,"direct","desktop","US","female",601,185,2,1,185
"3 - Cash cows",578849,"email","mobile","US","female",30,193,2,1,193
"3 - Cash cows",2569025,"other","desktop","international","female",7,193,2,2,96.5
"3 - Cash cows",1615466,"direct","mobile","US","female",27,194,4,3,64.67
"3 - Cash cows",1426003,"direct","desktop","US","female",506,195,2,2,97.5
"3 - Cash cows",1343973,"direct","desktop","international","male",263,196,3,1,196
"3 - Cash cows",2304171,"organic search","desktop","US","female",96,200,2,1,200
"3 - Cash cows",2661656,"paid","mobile","US","female",3,200,2,1,200
"3 - Cash cows",2300217,"paid","mobile","US","female",31,203,2,2,101.5
"3 - Cash cows",2302901,"paid","desktop","US","male",96,204,3,1,204
"3 - Cash cows",1473855,"direct","desktop","US","female",489,206,3,1,206
"3 - Cash cows",1429079,"paid","desktop","US","male",520,210,2,2,105
"3 - Cash cows",1583022,"email","desktop","US","female",53,210,2,2,105
"3 - Cash cows",1444293,"paid","desktop","US","male",377,210,3,3,70
"3 - Cash cows",1654778,"direct","desktop","US","female",34,214,3,3,71.33
"3 - Cash cows",1624967,"paid","desktop","US","female",388,216,3,1,216
"3 - Cash cows",2262106,"direct","desktop","US","female",108,228,2,1,228
"3 - Cash cows",1416003,"other","desktop","US","male",500,230,2,2,115
"3 - Cash cows",1453934,"paid","desktop","US","female",74,230,2,2,115
"3 - Cash cows",1563958,"organic search","desktop","international","male",411,230,2,2,115
"3 - Cash cows",1608325,"organic search","desktop","US","female",354,230,2,2,115
"3 - Cash cows",1659092,"direct","desktop","international","female",98,230,2,2,115
"3 - Cash cows",1792623,"paid","mobile","US","female",44,230,2,2,115
"3 - Cash cows",1814297,"email","desktop","US","female",274,230,2,2,115
"3 - Cash cows",2516796,"other","mobile","international","female",30,233,2,1,233
"3 - Cash cows",2066139,"other","desktop","US","female",178,234,3,2,117
"3 - Cash cows",1613555,"organic search","desktop","international","female",394,240,3,1,240
"3 - Cash cows",1378438,"direct","desktop","international","female",168,240,3,2,120
"3 - Cash cows",1482698,"organic search","desktop","international","male",391,240,3,3,80
"3 - Cash cows",2229190,"paid","desktop","US","female",70,240,3,3,80
"3 - Cash cows",2480951,"paid","desktop","international","female",41,245,2,1,245
"3 - Cash cows",1630454,"paid","desktop","US","male",310,245,2,2,122.5
"3 - Cash cows",1363556,"direct","mobile","US","female",522,260,2,2,130
"3 - Cash cows",2306233,"paid","desktop","US","female",25,261,3,2,130.5
"3 - Cash cows",2475656,"direct","mobile","US","female",31,261,4,3,87
"3 - Cash cows",1751512,"direct","desktop","US","female",21,266,3,2,133
"3 - Cash cows",2102696,"organic search","desktop","US","male",121,278,4,4,69.5
