"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1576624,"paid","desktop","US","female",74,2468,27,23,107.3
"1 - Stars",1341479,"direct","desktop","US","female",7,1939,19,16,121.19
"2 - High enders",2310078,"paid","desktop","US","female",1,1580,21,16,98.75
"2 - High enders",1569924,"paid","desktop","US","female",16,1293,10,5,258.6
"2 - High enders",1483528,"paid","desktop","US","female",6,1244,14,11,113.09
"2 - High enders",1357604,"paid","mobile","US","female",23,1240,15,14,88.57
"1 - Stars",482580,"email","desktop","US","female",141,1173,10,4,293.25
"1 - Stars",2076148,"organic search","desktop","US","female",40,1078,12,8,134.75
"2 - High enders",885051,"paid","desktop","US","female",6,1066,11,8,133.25
"1 - Stars",1628593,"paid","desktop","US","female",4,1019,10,4,254.75
"3 - Cash cows",2075255,"direct","desktop","US","female",128,157,2,1,157
"3 - Cash cows",1974989,"paid","desktop","US","female",74,160,2,2,80
"3 - Cash cows",1999725,"direct","mobile","US","male",116,161,3,2,80.5
"3 - Cash cows",2265582,"paid","desktop","US","female",6,162,2,1,162
"3 - Cash cows",1072665,"direct","desktop","US","female",36,163,2,1,163
"3 - Cash cows",1460304,"organic search","desktop","US","male",399,165,3,1,165
"3 - Cash cows",658112,"email","desktop","US","male",238,165,3,2,82.5
"3 - Cash cows",2049164,"organic search","desktop","US","male",101,165,3,2,82.5
"3 - Cash cows",2452666,"other","desktop","US","female",31,165,3,3,55
"3 - Cash cows",2314436,"direct","mobile","US","female",13,166,2,1,166
"3 - Cash cows",1805176,"email","desktop","US","female",28,166,2,2,83
"3 - Cash cows",1892072,"paid","desktop","US","female",191,166,2,2,83
"3 - Cash cows",2466389,"email","desktop","US","female",17,166,2,2,83
"3 - Cash cows",1887454,"organic search","mobile","US","female",224,167,2,2,83.5
"3 - Cash cows",1519711,"direct","desktop","international","female",6,168,2,1,168
"3 - Cash cows",1478536,"organic search","mobile","US","male",156,168,3,2,84
"3 - Cash cows",1924656,"other","mobile","US","male",70,168,3,3,56
"3 - Cash cows",2184797,"organic search","mobile","US","female",122,170,2,1,170
"3 - Cash cows",1805681,"paid","desktop","international","male",36,170,2,2,85
"3 - Cash cows",2431303,"paid","desktop","US","female",15,170,2,2,85
"3 - Cash cows",2146761,"paid","desktop","US","male",144,171,3,2,85.5
"3 - Cash cows",2323954,"paid","desktop","US","female",4,172,2,1,172
"3 - Cash cows",1478992,"direct","mobile","US","female",482,173,2,1,173
"3 - Cash cows",1542184,"direct","desktop","US","female",264,173,2,1,173
"3 - Cash cows",1881431,"organic search","desktop","international","female",260,173,2,1,173
"3 - Cash cows",2325445,"paid","desktop","US","female",90,173,2,1,173
"3 - Cash cows",1341855,"organic search","desktop","US","female",44,173,2,2,86.5
"3 - Cash cows",2019632,"email","desktop","international","male",204,174,3,1,174
"3 - Cash cows",1245211,"direct","desktop","US","female",173,174,3,2,87
"3 - Cash cows",2061748,"other","desktop","US","female",167,174,3,2,87
"3 - Cash cows",1408698,"paid","desktop","international","female",580,175,2,1,175
"3 - Cash cows",197801,"direct","desktop","US","female",308,176,2,1,176
"3 - Cash cows",2092892,"direct","desktop","US","female",105,176,2,1,176
"3 - Cash cows",2278005,"direct","desktop","US","female",102,176,2,1,176
"3 - Cash cows",2280798,"paid","desktop","US","female",101,176,2,1,176
"3 - Cash cows",2595031,"direct","desktop","US","female",19,176,2,1,176
"3 - Cash cows",931456,"paid","desktop","US","female",66,176,2,2,88
"3 - Cash cows",1287552,"email","mobile","US","female",16,176,2,2,88
"3 - Cash cows",1424015,"direct","mobile","US","female",28,176,2,2,88
"3 - Cash cows",1531862,"direct","mobile","international","female",85,176,3,2,88
"3 - Cash cows",1969051,"organic search","desktop","US","female",224,176,2,2,88
"3 - Cash cows",2087006,"paid","mobile","US","female",86,176,2,2,88
"3 - Cash cows",2127841,"email","desktop","US","female",144,176,2,2,88
"3 - Cash cows",1431980,"direct","desktop","US","female",71,178,2,1,178
"3 - Cash cows",2333784,"organic search","mobile","international","female",83,178,2,1,178
"3 - Cash cows",2106824,"direct","desktop","US","male",84,178,3,2,89
"3 - Cash cows",1441409,"direct","desktop","US","female",95,178,3,3,59.33
"3 - Cash cows",1781348,"organic search","desktop","US","male",179,178,3,3,59.33
"3 - Cash cows",2385408,"organic search","desktop","US","female",70,179,2,1,179
"3 - Cash cows",1805014,"organic search","mobile","US","female",149,179,2,2,89.5
"3 - Cash cows",1252157,"paid","desktop","US","female",17,180,2,1,180
"3 - Cash cows",1408522,"direct","desktop","US","female",587,180,2,1,180
"3 - Cash cows",1408906,"paid","desktop","international","female",588,180,2,1,180
"3 - Cash cows",1593129,"direct","desktop","US","female",260,180,2,1,180
"3 - Cash cows",1322459,"paid","desktop","US","female",371,180,3,2,90
"3 - Cash cows",1383460,"organic search","desktop","international","female",587,180,2,2,90
"3 - Cash cows",1499637,"organic search","desktop","US","female",13,180,2,2,90
"3 - Cash cows",723324,"organic search","desktop","US","male",534,181,3,1,181
"3 - Cash cows",2326760,"paid","desktop","US","female",78,181,3,2,90.5
"3 - Cash cows",1564665,"organic search","mobile","international","female",367,183,2,1,183
"3 - Cash cows",1582518,"paid","desktop","international","female",116,183,2,1,183
"3 - Cash cows",1867599,"organic search","desktop","international","female",169,183,2,1,183
"3 - Cash cows",2277740,"organic search","desktop","US","female",43,183,2,1,183
"3 - Cash cows",2436920,"organic search","desktop","US","female",53,183,2,1,183
"3 - Cash cows",482110,"email","mobile","US","female",1,183,2,2,91.5
"3 - Cash cows",1623970,"organic search","desktop","US","female",126,183,2,2,91.5
"3 - Cash cows",1348281,"paid","desktop","US","female",116,184,2,2,92
"3 - Cash cows",1719452,"paid","mobile","US","female",284,184,3,2,92
"3 - Cash cows",2156592,"organic search","desktop","US","male",5,184,3,2,92
"3 - Cash cows",1121652,"organic search","desktop","US","male",4,184,3,3,61.33
"3 - Cash cows",595447,"organic search","desktop","US","male",7,186,4,2,93
"3 - Cash cows",504981,"email","desktop","US","female",7,187,3,2,93.5
"3 - Cash cows",1414267,"direct","desktop","US","male",583,188,3,1,188
"3 - Cash cows",1736558,"paid","mobile","international","female",94,188,2,1,188
"3 - Cash cows",1739804,"direct","desktop","US","female",333,188,3,1,188
"3 - Cash cows",1873839,"other","mobile","international","female",271,188,3,1,188
"3 - Cash cows",2034350,"organic search","mobile","US","female",100,188,3,2,94
"3 - Cash cows",839314,"direct","desktop","US","female",349,190,2,1,190
"3 - Cash cows",2204434,"organic search","desktop","US","female",126,190,2,1,190
"3 - Cash cows",1862150,"paid","desktop","US","female",6,190,2,2,95
"3 - Cash cows",1421804,"direct","desktop","US","female",338,190,3,3,63.33
"3 - Cash cows",2168934,"other","desktop","US","female",116,191,3,1,191
"3 - Cash cows",1603879,"direct","desktop","US","male",106,191,3,3,63.67
"3 - Cash cows",55113,"organic search","desktop","US","female",440,193,2,1,193
"3 - Cash cows",106399,"paid","desktop","US","female",15,193,2,1,193
"3 - Cash cows",1280735,"direct","mobile","international","female",588,193,2,1,193
"3 - Cash cows",1292850,"paid","desktop","US","female",50,193,2,1,193
"3 - Cash cows",1413811,"paid","desktop","US","female",584,193,2,1,193
"3 - Cash cows",1418121,"paid","desktop","US","male",577,193,3,1,193
"3 - Cash cows",1689903,"paid","desktop","US","female",125,193,2,1,193
"3 - Cash cows",2513769,"organic search","desktop","US","female",29,193,2,1,193
"3 - Cash cows",2521400,"paid","mobile","US","female",5,193,2,1,193
"3 - Cash cows",1336232,"organic search","desktop","US","female",164,193,2,2,96.5
"3 - Cash cows",1409626,"paid","mobile","US","female",469,193,2,2,96.5
"3 - Cash cows",1868414,"organic search","mobile","US","female",263,193,2,2,96.5
"3 - Cash cows",1465573,"organic search","desktop","US","female",46,194,3,3,64.67
"3 - Cash cows",1627346,"direct","desktop","US","female",51,195,2,1,195
"3 - Cash cows",1864279,"organic search","mobile","US","female",77,195,3,2,97.5
"3 - Cash cows",2214232,"email","mobile","US","female",25,195,2,2,97.5
"3 - Cash cows",2290890,"organic search","desktop","US","female",21,196,2,1,196
"3 - Cash cows",2826,"paid","desktop","US","male",580,196,3,2,98
"3 - Cash cows",1975992,"organic search","desktop","US","female",219,196,2,2,98
