"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",2310078,"paid","desktop","US","female",1,952,14,13,73.23
"1 - Stars",2228942,"paid","desktop","US","female",49,680,10,7,97.14
"2 - High enders",1599773,"email","desktop","US","female",13,612,9,4,153
"2 - High enders",1357604,"paid","mobile","US","female",23,544,8,3,181.33
"1 - Stars",1529291,"direct","mobile","US","female",1,544,8,4,136
"1 - Stars",1831879,"paid","desktop","US","female",22,544,8,4,136
"1 - Stars",330687,"paid","desktop","US","female",116,476,7,1,476
"1 - Stars",2288076,"paid","desktop","US","female",58,476,7,3,158.67
"1 - Stars",1358704,"direct","desktop","US","female",23,476,7,4,119
"1 - Stars",1713406,"paid","desktop","US","female",12,476,7,5,95.2
"2 - High enders",1836411,"paid","desktop","US","female",17,476,7,5,95.2
"1 - Stars",1003449,"paid","desktop","US","female",110,408,6,1,408
"1 - Stars",1327109,"email","desktop","US","female",27,408,6,1,408
"1 - Stars",124570,"paid","desktop","US","female",55,408,6,2,204
"1 - Stars",182302,"organic search","mobile","US","female",13,408,6,2,204
"2 - High enders",524689,"direct","desktop","US","female",6,408,6,2,204
"1 - Stars",1341016,"direct","mobile","US","female",38,408,6,2,204
"1 - Stars",2287120,"email","desktop","US","male",85,408,6,2,204
"1 - Stars",2418220,"paid","desktop","US","female",48,408,6,2,204
"1 - Stars",2344281,"paid","mobile","US","female",6,408,6,3,136
"1 - Stars",1681488,"paid","desktop","US","female",69,408,6,4,102
"2 - High enders",1383426,"direct","desktop","US","female",68,340,5,1,340
"2 - High enders",887749,"paid","desktop","US","female",6,340,5,2,170
"1 - Stars",1360747,"direct","mobile","US","female",27,340,5,2,170
"1 - Stars",1447155,"paid","desktop","US","male",6,340,5,2,170
"1 - Stars",1814284,"direct","mobile","US","female",9,340,5,2,170
"1 - Stars",2114436,"organic search","desktop","US","male",3,340,5,2,170
"1 - Stars",2159536,"direct","desktop","US","female",20,340,5,2,170
"1 - Stars",2564782,"paid","desktop","US","female",16,340,5,2,170
"2 - High enders",1406590,"organic search","desktop","US","female",5,340,5,3,113.33
"2 - High enders",1594113,"organic search","mobile","US","female",6,340,5,3,113.33
"1 - Stars",1704959,"email","mobile","US","female",69,340,5,3,113.33
"2 - High enders",1831517,"direct","mobile","US","male",7,340,5,3,113.33
"1 - Stars",2352873,"other","desktop","US","female",27,340,5,3,113.33
"2 - High enders",1609872,"paid","desktop","US","female",9,340,5,4,85
"1 - Stars",1619281,"paid","desktop","US","female",14,340,5,4,85
"2 - High enders",2271157,"direct","mobile","US","female",22,340,5,4,85
"1 - Stars",2327000,"organic search","desktop","US","female",11,340,5,5,68
"2 - High enders",462097,"email","desktop","US","female",35,272,4,1,272
"1 - Stars",529524,"other","desktop","US","male",33,272,4,1,272
"1 - Stars",1115911,"email","desktop","US","male",91,272,4,1,272
"1 - Stars",1323131,"other","desktop","US","female",98,272,4,1,272
"2 - High enders",1467039,"direct","desktop","US","male",11,272,4,1,272
"2 - High enders",1508040,"organic search","desktop","international","female",116,272,4,1,272
"2 - High enders",1839512,"organic search","desktop","US","female",50,272,4,1,272
"2 - High enders",1921487,"direct","desktop","US","female",6,272,4,1,272
"2 - High enders",2027835,"organic search","desktop","US","female",66,272,4,1,272
"1 - Stars",2466892,"paid","desktop","US","female",45,272,4,1,272
"1 - Stars",2471612,"paid","mobile","US","female",29,272,4,1,272
