"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",2310078,"paid","desktop","US","female",1,8262,51,48,172.12
"1 - Stars",1576624,"paid","desktop","US","female",74,6511,40,39,166.95
"1 - Stars",1606011,"paid","desktop","US","female",295,2474,14,5,494.8
"1 - Stars",1548818,"organic search","mobile","US","female",23,1883,12,8,235.38
"1 - Stars",885051,"paid","desktop","US","female",6,1879,11,11,170.82
"1 - Stars",1372378,"paid","desktop","US","female",200,1768,11,7,252.57
"1 - Stars",1382408,"direct","desktop","US","female",6,1679,9,8,209.88
"1 - Stars",1637181,"paid","desktop","US","female",58,1556,9,4,389
"1 - Stars",2406632,"direct","mobile","international","female",6,1472,10,4,368
"1 - Stars",1857884,"other","desktop","US","female",31,1351,8,6,225.17
"3 - Cash cows",2109832,"organic search","desktop","US","female",41,293,2,2,146.5
"3 - Cash cows",1792925,"organic search","desktop","US","female",194,295,2,2,147.5
"3 - Cash cows",1747401,"paid","desktop","US","female",3,298,3,3,99.33
"3 - Cash cows",1911243,"organic search","desktop","US","female",223,300,2,1,300
"3 - Cash cows",1937224,"organic search","mobile","international","female",114,300,2,1,300
"3 - Cash cows",2436486,"direct","mobile","international","female",54,300,2,1,300
"3 - Cash cows",2477349,"direct","mobile","international","female",43,300,2,1,300
"3 - Cash cows",1131777,"email","mobile","US","female",49,300,2,2,150
"3 - Cash cows",1137179,"other","desktop","US","female",72,300,2,2,150
"3 - Cash cows",1262474,"email","desktop","US","female",20,300,2,2,150
"3 - Cash cows",1304469,"paid","desktop","US","female",38,300,2,2,150
"3 - Cash cows",1422285,"paid","desktop","US","female",77,300,2,2,150
"3 - Cash cows",1757127,"paid","desktop","US","female",41,300,2,2,150
"3 - Cash cows",1878223,"organic search","desktop","US","female",33,300,2,2,150
"3 - Cash cows",1948082,"paid","desktop","US","female",75,300,2,2,150
"3 - Cash cows",2460257,"email","mobile","US","female",24,300,2,2,150
"3 - Cash cows",1825160,"paid","mobile","US","female",207,302,3,3,100.67
"3 - Cash cows",2619362,"organic search","desktop","US","female",6,304,2,1,304
"3 - Cash cows",983959,"paid","desktop","US","female",150,304,3,2,152
"3 - Cash cows",1823415,"paid","mobile","US","female",30,304,2,2,152
"3 - Cash cows",1475194,"paid","desktop","US","female",45,305,2,1,305
"3 - Cash cows",1931330,"paid","mobile","US","female",212,305,2,1,305
"3 - Cash cows",1488224,"paid","desktop","US","female",434,305,2,2,152.5
"3 - Cash cows",1880362,"paid","desktop","US","female",17,305,2,2,152.5
"3 - Cash cows",2303491,"paid","desktop","US","female",15,305,2,2,152.5
"3 - Cash cows",1370692,"paid","mobile","US","female",6,307,3,2,153.5
"3 - Cash cows",1500357,"direct","desktop","US","female",7,307,2,2,153.5
"3 - Cash cows",1977113,"direct","desktop","US","female",74,310,2,1,310
"3 - Cash cows",2246524,"paid","mobile","international","female",43,310,2,1,310
"3 - Cash cows",365239,"email","mobile","US","female",4,310,2,2,155
"3 - Cash cows",902814,"paid","desktop","US","female",50,310,2,2,155
"3 - Cash cows",1330519,"email","mobile","international","female",35,310,2,2,155
"3 - Cash cows",1332385,"organic search","desktop","US","female",7,310,2,2,155
"3 - Cash cows",1381293,"paid","desktop","US","female",21,310,2,2,155
"3 - Cash cows",1537374,"paid","desktop","international","female",58,310,2,2,155
"3 - Cash cows",1683738,"paid","mobile","US","female",127,310,2,2,155
"3 - Cash cows",2044642,"paid","desktop","US","female",33,310,2,2,155
"3 - Cash cows",2373250,"paid","desktop","US","female",59,310,2,2,155
"3 - Cash cows",2385740,"paid","desktop","US","female",35,310,2,2,155
"3 - Cash cows",2388848,"paid","desktop","US","female",47,310,2,2,155
"3 - Cash cows",2418183,"paid","desktop","international","female",33,310,2,2,155
"3 - Cash cows",2551041,"direct","desktop","US","female",5,310,2,2,155
"3 - Cash cows",2613835,"direct","desktop","US","female",15,310,2,2,155
"3 - Cash cows",1322792,"organic search","desktop","US","female",46,313,2,1,313
"3 - Cash cows",1873839,"other","mobile","international","female",271,313,2,1,313
"3 - Cash cows",2019909,"email","desktop","US","female",7,313,2,1,313
"3 - Cash cows",2600872,"organic search","desktop","international","female",17,313,2,1,313
"3 - Cash cows",1646137,"organic search","desktop","US","female",33,313,2,2,156.5
"3 - Cash cows",1857245,"paid","desktop","US","female",273,313,3,2,156.5
"3 - Cash cows",1969853,"organic search","mobile","US","female",72,313,2,2,156.5
"3 - Cash cows",1440546,"other","mobile","US","female",534,315,2,1,315
"3 - Cash cows",1643333,"paid","desktop","US","female",88,318,2,2,159
"3 - Cash cows",1760318,"direct","desktop","US","female",297,320,2,1,320
"3 - Cash cows",1965692,"other","mobile","US","male",225,320,2,1,320
"3 - Cash cows",2309281,"direct","desktop","US","female",95,320,2,1,320
"3 - Cash cows",369823,"direct","desktop","US","male",488,320,2,2,160
"3 - Cash cows",714517,"direct","desktop","US","female",455,320,2,2,160
"3 - Cash cows",897102,"other","mobile","US","female",413,320,2,2,160
"3 - Cash cows",1275730,"email","mobile","international","female",148,320,2,2,160
"3 - Cash cows",1303969,"email","desktop","US","female",465,320,2,2,160
"3 - Cash cows",1437640,"direct","desktop","US","female",3,320,2,2,160
"3 - Cash cows",1851152,"paid","desktop","US","female",33,320,2,2,160
"3 - Cash cows",1966758,"organic search","mobile","US","female",167,320,2,2,160
