"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1901318,"organic search","desktop","US","female",13,775,5,3,258.33
"2 - High enders",1836411,"paid","desktop","US","female",17,684,12,11,62.18
"2 - High enders",524689,"direct","desktop","US","female",6,588,6,6,98
"2 - High enders",1676208,"paid","mobile","US","female",129,532,8,2,266
"2 - High enders",1683542,"organic search","desktop","US","female",253,478,5,3,159.33
"2 - High enders",2346541,"email","desktop","US","female",6,465,3,2,232.5
"2 - High enders",1176875,"paid","desktop","US","female",2,432,5,4,108
"2 - High enders",1557392,"organic search","mobile","US","female",24,379,3,2,189.5
"1 - Stars",1876913,"organic search","desktop","US","female",38,372,3,2,186
"1 - Stars",1322035,"paid","desktop","US","female",55,368,3,2,184
"2 - High enders",1435712,"direct","desktop","US","male",22,368,3,2,184
"3 - Cash cows",2022661,"direct","desktop","US","female",202,101,2,1,101
"3 - Cash cows",1614928,"direct","mobile","US","female",46,103,2,2,51.5
"3 - Cash cows",2140966,"paid","desktop","US","female",148,104,3,1,104
"3 - Cash cows",1756036,"direct","desktop","US","female",88,105,2,1,105
"3 - Cash cows",1404415,"direct","desktop","US","female",221,109,3,2,54.5
"3 - Cash cows",1413912,"other","desktop","international","female",577,110,2,1,110
"3 - Cash cows",1634763,"direct","desktop","US","female",342,114,3,3,38
"3 - Cash cows",933320,"email","mobile","US","female",51,116,2,1,116
"3 - Cash cows",1817012,"paid","desktop","US","female",250,116,2,1,116
"3 - Cash cows",1365210,"organic search","desktop","US","female",5,119,3,2,59.5
"3 - Cash cows",1923481,"organic search","mobile","US","female",6,120,4,2,60
"3 - Cash cows",1904463,"direct","desktop","US","female",74,125,5,2,62.5
"3 - Cash cows",1382093,"organic search","desktop","US","female",4,126,2,2,63
"3 - Cash cows",2451360,"email","mobile","US","female",5,140,2,1,140
"3 - Cash cows",2546159,"paid","desktop","US","female",21,140,2,2,70
"3 - Cash cows",1385342,"other","desktop","US","female",6,147,2,1,147
"3 - Cash cows",1946578,"direct","desktop","US","female",179,151,3,1,151
"3 - Cash cows",1819063,"paid","desktop","US","female",116,151,3,2,75.5
"3 - Cash cows",872077,"organic search","mobile","US","female",48,165,3,1,165
"3 - Cash cows",1262944,"email","mobile","US","female",156,168,4,3,56
"3 - Cash cows",2001858,"paid","mobile","US","female",81,183,2,1,183
"3 - Cash cows",1467140,"direct","mobile","US","female",40,183,2,2,91.5
"3 - Cash cows",891730,"organic search","desktop","US","female",234,194,4,3,64.67
"3 - Cash cows",1728172,"paid","mobile","US","female",240,196,2,2,98
"3 - Cash cows",1321943,"paid","mobile","US","female",146,205,3,2,102.5
"3 - Cash cows",882328,"direct","desktop","US","female",178,209,4,4,52.25
"3 - Cash cows",1834577,"direct","mobile","US","female",5,213,2,1,213
"3 - Cash cows",1561050,"direct","mobile","US","female",428,220,2,1,220
"3 - Cash cows",2008026,"direct","mobile","US","female",56,222,4,4,55.5
"3 - Cash cows",750110,"email","mobile","US","female",292,230,2,2,115
"3 - Cash cows",2048322,"organic search","mobile","US","female",181,231,3,1,231
