"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1576624,"paid","desktop","US","female",74,2714,116,87,31.2
"2 - High enders",2310078,"paid","desktop","US","female",1,1389,43,35,39.69
"2 - High enders",1483528,"paid","desktop","US","female",6,859,34,11,78.09
"1 - Stars",1730131,"organic search","desktop","international","female",1,709,30,22,32.23
"2 - High enders",1801854,"email","desktop","US","unisex",5,651,25,15,43.4
"2 - High enders",1676208,"paid","mobile","US","female",129,604,24,4,151
"2 - High enders",1357604,"paid","mobile","US","female",23,574,18,11,52.18
"2 - High enders",1831517,"direct","mobile","US","male",7,530,23,6,88.33
"2 - High enders",1323027,"other","desktop","US","female",27,503,18,10,50.3
"2 - High enders",1822203,"paid","desktop","US","female",42,492,16,11,44.73
"3 - Cash cows",1927024,"paid","mobile","US","male",214,76,3,1,76
"3 - Cash cows",1431331,"other","desktop","US","female",82,76,4,2,38
"3 - Cash cows",1226598,"organic search","desktop","US","female",458,76,4,3,25.33
"3 - Cash cows",1460195,"organic search","desktop","US","female",124,77,4,2,38.5
"3 - Cash cows",1953868,"organic search","mobile","US","female",94,77,3,2,38.5
"3 - Cash cows",2360755,"paid","mobile","US","female",71,77,3,2,38.5
"3 - Cash cows",1628781,"organic search","desktop","international","male",386,78,4,1,78
"3 - Cash cows",2306216,"direct","desktop","US","male",96,78,3,1,78
"3 - Cash cows",1284752,"paid","desktop","US","female",165,78,4,2,39
"3 - Cash cows",1324571,"direct","mobile","US","female",327,78,3,2,39
"3 - Cash cows",1432835,"email","mobile","international","female",6,78,3,2,39
"3 - Cash cows",1949197,"paid","desktop","international","female",183,78,3,2,39
"3 - Cash cows",1468883,"paid","desktop","US","female",115,78,4,3,26
"3 - Cash cows",1822577,"paid","desktop","US","female",214,79,3,1,79
"3 - Cash cows",1109767,"email","desktop","international","female",244,79,3,2,39.5
"3 - Cash cows",1694021,"direct","desktop","US","female",114,79,3,2,39.5
"3 - Cash cows",1719685,"direct","mobile","US","female",132,79,3,3,26.33
"3 - Cash cows",1819538,"organic search","desktop","US","male",96,79,3,3,26.33
"3 - Cash cows",2012818,"direct","desktop","US","female",4,79,3,3,26.33
"3 - Cash cows",1303855,"other","desktop","US","female",217,80,4,1,80
"3 - Cash cows",1376630,"organic search","desktop","international","female",93,80,3,1,80
"3 - Cash cows",1383088,"other","desktop","US","female",620,80,4,1,80
"3 - Cash cows",1543583,"organic search","desktop","US","female",302,80,3,1,80
"3 - Cash cows",2518500,"direct","mobile","US","female",34,80,4,1,80
"3 - Cash cows",1364713,"organic search","desktop","US","female",59,80,3,2,40
"3 - Cash cows",2095978,"other","desktop","US","female",38,80,3,2,40
"3 - Cash cows",1387499,"paid","mobile","US","female",277,80,4,4,20
"3 - Cash cows",1447672,"organic search","mobile","US","female",520,81,3,1,81
"3 - Cash cows",2039107,"organic search","desktop","international","female",165,81,3,1,81
"3 - Cash cows",2277136,"paid","mobile","international","female",102,81,3,1,81
"3 - Cash cows",710007,"direct","mobile","US","female",61,81,4,2,40.5
"3 - Cash cows",1526997,"organic search","desktop","US","female",129,81,3,2,40.5
"3 - Cash cows",1760641,"paid","desktop","US","female",281,81,3,2,40.5
"3 - Cash cows",2103287,"direct","desktop","US","female",52,81,3,2,40.5
"3 - Cash cows",1789503,"organic search","mobile","US","female",166,81,4,3,27
"3 - Cash cows",2224602,"direct","mobile","international","female",112,82,4,1,82
"3 - Cash cows",1397204,"direct","desktop","US","male",477,82,4,2,41
"3 - Cash cows",1430282,"direct","mobile","US","female",554,83,3,1,83
"3 - Cash cows",2504746,"other","desktop","US","female",37,83,3,1,83
"3 - Cash cows",1340424,"other","desktop","international","female",260,83,4,4,20.75
"3 - Cash cows",1438390,"paid","desktop","US","female",351,84,4,1,84
"3 - Cash cows",1459562,"direct","desktop","US","female",502,84,3,1,84
"3 - Cash cows",1584112,"paid","desktop","US","female",411,84,3,1,84
"3 - Cash cows",1859024,"other","desktop","international","female",279,84,3,1,84
"3 - Cash cows",2186180,"direct","desktop","US","female",131,84,5,1,84
"3 - Cash cows",2235220,"paid","desktop","international","female",111,84,3,1,84
"3 - Cash cows",2416893,"organic search","desktop","US","female",26,84,3,1,84
"3 - Cash cows",535541,"direct","desktop","international","female",451,84,4,2,42
"3 - Cash cows",932083,"email","desktop","US","female",6,84,4,2,42
"3 - Cash cows",1594982,"other","desktop","US","male",304,84,3,2,42
"3 - Cash cows",1611716,"paid","desktop","US","female",356,84,3,3,28
"3 - Cash cows",1455772,"direct","desktop","US","female",508,85,3,1,85
"3 - Cash cows",1594486,"paid","desktop","US","female",272,85,3,1,85
"3 - Cash cows",1749952,"organic search","mobile","international","female",113,85,3,1,85
"3 - Cash cows",2046955,"paid","desktop","US","female",189,85,3,1,85
"3 - Cash cows",2154517,"direct","desktop","international","male",142,85,3,1,85
"3 - Cash cows",1357303,"organic search","desktop","US","female",241,85,3,2,42.5
"3 - Cash cows",1389377,"paid","desktop","US","female",129,85,3,2,42.5
"3 - Cash cows",1454884,"other","desktop","US","female",232,85,3,2,42.5
"3 - Cash cows",2368470,"direct","desktop","US","male",54,85,3,2,42.5
"3 - Cash cows",1389012,"paid","desktop","US","female",46,86,3,2,43
"3 - Cash cows",1514896,"paid","desktop","US","female",13,86,3,2,43
