"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1478364,"direct","desktop","US","female",19,36,2,1,36
"1 - Stars",2518616,"other","desktop","US","male",12,36,2,1,36
"2 - High enders",2494158,"organic search","desktop","US","female",3,36,2,2,18
"2 - High enders",360012,"email","desktop","US","female",21,18,1,1,18
"2 - High enders",1466197,"organic search","mobile","US","male",21,18,1,1,18
"2 - High enders",1613141,"other","desktop","US","female",6,18,1,1,18
"2 - High enders",1679465,"paid","desktop","US","female",6,18,1,1,18
"2 - High enders",1803174,"direct","desktop","US","male",20,18,1,1,18
"2 - High enders",1916550,"email","desktop","US","female",23,18,1,1,18
"2 - High enders",2605598,"direct","desktop","US","female",16,18,1,1,18
