"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",2310078,"paid","desktop","US","female",1,5446,38,34,160.18
"2 - High enders",1901318,"organic search","desktop","US","female",13,1539,11,6,256.5
"1 - Stars",1446630,"paid","desktop","US","female",62,1254,8,4,313.5
"2 - High enders",1576624,"paid","desktop","US","female",74,1157,9,9,128.56
"1 - Stars",1525988,"paid","mobile","US","female",56,1002,7,7,143.14
"2 - High enders",885051,"paid","desktop","US","female",6,991,6,6,165.17
"2 - High enders",2494158,"organic search","desktop","US","female",3,876,9,5,175.2
"2 - High enders",1355673,"paid","mobile","US","female",24,871,7,7,124.43
"2 - High enders",1478503,"paid","desktop","international","female",6,845,8,8,105.62
"1 - Stars",1556795,"organic search","desktop","US","female",4,828,5,5,165.6
"3 - Cash cows",688766,"organic search","desktop","US","female",7,196,2,1,196
"3 - Cash cows",1686991,"direct","mobile","US","female",355,196,2,1,196
"3 - Cash cows",1896226,"organic search","desktop","US","female",146,196,2,1,196
"3 - Cash cows",364382,"organic search","desktop","US","female",435,196,2,2,98
"3 - Cash cows",1062832,"direct","desktop","international","female",275,196,2,2,98
"3 - Cash cows",1290500,"email","desktop","US","male",56,196,2,2,98
"3 - Cash cows",1430288,"organic search","mobile","US","female",259,196,2,2,98
"3 - Cash cows",1538873,"paid","desktop","US","female",18,196,2,2,98
"3 - Cash cows",1587321,"organic search","desktop","US","female",3,196,2,2,98
"3 - Cash cows",1688110,"email","desktop","US","female",299,196,2,2,98
"3 - Cash cows",1874661,"email","desktop","US","female",255,196,2,2,98
"3 - Cash cows",788334,"email","desktop","US","female",55,204,2,1,204
"3 - Cash cows",2442925,"direct","desktop","US","female",44,213,2,1,213
"3 - Cash cows",2639904,"direct","desktop","US","female",6,213,2,1,213
"3 - Cash cows",515670,"other","mobile","international","female",22,213,2,2,106.5
"3 - Cash cows",1016715,"organic search","desktop","US","female",91,213,2,2,106.5
"3 - Cash cows",1655022,"direct","desktop","US","female",21,213,2,2,106.5
"3 - Cash cows",2095141,"direct","desktop","US","female",5,213,2,2,106.5
"3 - Cash cows",2194161,"paid","mobile","US","female",56,213,2,2,106.5
"3 - Cash cows",2336143,"organic search","mobile","US","female",24,213,2,2,106.5
"3 - Cash cows",1141204,"direct","desktop","US","female",99,223,2,1,223
"3 - Cash cows",1282868,"paid","desktop","US","female",30,223,2,2,111.5
"3 - Cash cows",1743430,"paid","desktop","US","female",17,223,2,2,111.5
"3 - Cash cows",1833532,"direct","desktop","US","female",20,223,2,2,111.5
"3 - Cash cows",1125116,"email","desktop","US","male",56,233,2,1,233
"3 - Cash cows",357711,"paid","desktop","US","female",360,235,2,1,235
"3 - Cash cows",1862381,"paid","desktop","US","female",277,236,2,1,236
"3 - Cash cows",1481783,"direct","desktop","US","female",48,238,2,2,119
"3 - Cash cows",2376599,"email","desktop","US","female",14,240,3,3,80
"3 - Cash cows",2376460,"paid","desktop","US","male",74,246,2,1,246
"3 - Cash cows",1464448,"direct","mobile","US","female",241,246,2,2,123
"3 - Cash cows",1722368,"organic search","desktop","US","male",38,246,3,3,82
"3 - Cash cows",2431353,"paid","mobile","US","male",54,250,2,1,250
"3 - Cash cows",2586426,"paid","desktop","US","female",21,250,2,1,250
"3 - Cash cows",1345847,"direct","desktop","US","female",30,250,2,2,125
"3 - Cash cows",1599270,"organic search","desktop","US","female",384,250,2,2,125
"3 - Cash cows",1614470,"email","mobile","US","female",91,250,2,2,125
"3 - Cash cows",1725218,"organic search","mobile","US","female",37,250,2,2,125
"3 - Cash cows",2011035,"paid","desktop","international","female",23,250,2,2,125
"3 - Cash cows",2234025,"paid","mobile","US","female",29,250,2,2,125
"3 - Cash cows",2486384,"organic search","desktop","US","female",27,250,2,2,125
"3 - Cash cows",2599436,"organic search","desktop","US","female",9,250,2,2,125
"3 - Cash cows",224056,"paid","mobile","US","female",24,256,2,1,256
"3 - Cash cows",2620453,"organic search","desktop","US","female",13,256,2,1,256
"3 - Cash cows",1838374,"paid","desktop","US","male",241,256,2,2,128
"3 - Cash cows",1893591,"direct","desktop","US","male",262,256,2,2,128
"3 - Cash cows",1911122,"email","mobile","US","female",6,256,2,2,128
"3 - Cash cows",2237849,"paid","desktop","US","female",47,256,2,2,128
"3 - Cash cows",1474307,"organic search","desktop","US","female",54,263,2,2,131.5
"3 - Cash cows",1970627,"organic search","desktop","US","male",16,270,2,2,135
"3 - Cash cows",1590168,"paid","desktop","US","female",30,274,2,1,274
"3 - Cash cows",1206870,"organic search","desktop","US","female",325,274,2,2,137
"3 - Cash cows",1582882,"email","desktop","international","female",255,274,2,2,137
"3 - Cash cows",2295060,"paid","desktop","international","female",50,275,2,1,275
"3 - Cash cows",1986436,"paid","desktop","US","female",18,275,2,2,137.5
"3 - Cash cows",1361677,"direct","desktop","US","female",274,276,2,1,276
"3 - Cash cows",1599129,"direct","desktop","US","female",31,276,2,2,138
"3 - Cash cows",1681466,"paid","desktop","US","female",51,276,2,2,138
"3 - Cash cows",1895048,"paid","desktop","international","female",152,276,2,2,138
"3 - Cash cows",1793090,"email","mobile","US","female",47,286,2,2,143
"3 - Cash cows",2424172,"organic search","desktop","US","female",22,290,2,1,290
"3 - Cash cows",1639766,"paid","mobile","US","female",42,293,2,2,146.5
"3 - Cash cows",2473741,"organic search","desktop","US","female",29,293,2,2,146.5
"3 - Cash cows",1838767,"organic search","desktop","US","male",232,296,2,1,296
"3 - Cash cows",1077976,"organic search","desktop","US","male",36,296,2,2,148
"3 - Cash cows",1924656,"other","mobile","US","male",70,296,2,2,148
"3 - Cash cows",1961444,"paid","desktop","US","male",44,296,2,2,148
"3 - Cash cows",523452,"direct","desktop","US","female",47,300,2,2,150
"3 - Cash cows",1489779,"organic search","mobile","US","female",52,300,2,2,150
"3 - Cash cows",1668320,"direct","desktop","US","female",6,300,2,2,150
"3 - Cash cows",1718053,"paid","desktop","US","female",31,300,2,2,150
"3 - Cash cows",2474643,"direct","mobile","US","male",20,301,3,1,301
"3 - Cash cows",1355780,"paid","desktop","US","female",26,313,2,1,313
"3 - Cash cows",1973784,"paid","desktop","US","female",15,313,2,2,156.5
"3 - Cash cows",1635865,"direct","mobile","US","male",298,314,3,3,104.67
"3 - Cash cows",2127216,"paid","desktop","US","female",1,323,2,2,161.5
"3 - Cash cows",512424,"email","desktop","international","female",420,330,2,1,330
"3 - Cash cows",1443776,"organic search","mobile","US","female",157,330,2,2,165
"3 - Cash cows",1521459,"organic search","mobile","international","female",389,330,2,2,165
"3 - Cash cows",163554,"paid","mobile","US","female",56,336,2,1,336
"3 - Cash cows",1795135,"email","mobile","US","female",26,336,2,1,336
"3 - Cash cows",1901630,"paid","desktop","international","female",24,336,2,2,168
"3 - Cash cows",2176463,"other","desktop","US","female",27,336,2,2,168
"3 - Cash cows",2311349,"direct","mobile","US","female",9,336,2,2,168
"3 - Cash cows",2436389,"direct","desktop","US","female",47,336,2,2,168
"3 - Cash cows",2520629,"organic search","desktop","US","female",24,336,2,2,168
"3 - Cash cows",1523527,"direct","mobile","US","female",6,339,3,3,113
"3 - Cash cows",781180,"paid","mobile","US","female",70,350,2,1,350
"3 - Cash cows",1824112,"paid","desktop","US","female",63,350,2,2,175
"3 - Cash cows",1185832,"direct","mobile","US","female",172,353,2,2,176.5
"3 - Cash cows",1667250,"organic search","desktop","US","male",93,360,2,1,360
"3 - Cash cows",1405300,"paid","desktop","international","female",19,361,3,3,120.33
"3 - Cash cows",1578184,"paid","desktop","US","female",193,363,2,1,363
"3 - Cash cows",1896066,"organic search","desktop","international","female",263,363,2,1,363
"3 - Cash cows",1591405,"email","mobile","US","female",376,363,2,2,181.5
"3 - Cash cows",1503538,"paid","mobile","US","female",56,366,2,1,366
"3 - Cash cows",2142225,"paid","mobile","international","female",43,366,2,1,366
"3 - Cash cows",710589,"paid","desktop","US","female",51,372,2,2,186
"3 - Cash cows",955319,"direct","desktop","international","female",75,372,2,2,186
"3 - Cash cows",1675228,"paid","desktop","US","female",7,372,3,2,186
"3 - Cash cows",2319936,"organic search","desktop","US","female",25,372,2,2,186
"3 - Cash cows",1520565,"other","mobile","US","female",268,385,3,3,128.33
"3 - Cash cows",1419578,"direct","desktop","US","female",201,387,3,3,129
"3 - Cash cows",1034058,"organic search","desktop","US","female",145,390,2,1,390
"3 - Cash cows",160357,"email","desktop","US","female",24,396,2,2,198
"3 - Cash cows",1542569,"organic search","desktop","US","female",5,396,2,2,198
"3 - Cash cows",2438983,"organic search","desktop","US","female",44,396,2,2,198
"3 - Cash cows",1543853,"direct","mobile","US","female",36,402,2,2,201
"3 - Cash cows",2489571,"organic search","mobile","international","female",39,418,3,1,418
"3 - Cash cows",2438745,"paid","mobile","US","female",51,423,2,2,211.5
"3 - Cash cows",1411724,"direct","desktop","US","female",5,425,3,2,212.5
"3 - Cash cows",1435042,"organic search","mobile","international","female",46,434,3,2,217
"3 - Cash cows",1558590,"paid","desktop","US","female",23,434,3,2,217
"3 - Cash cows",1208694,"paid","desktop","US","female",30,438,3,3,146
"3 - Cash cows",1749260,"email","desktop","international","female",53,443,3,3,147.67
"3 - Cash cows",2584183,"paid","desktop","US","female",21,446,4,2,223
"3 - Cash cows",1340694,"organic search","mobile","international","female",18,450,2,2,225
"3 - Cash cows",1368062,"other","desktop","US","female",40,450,2,2,225
"3 - Cash cows",1576373,"organic search","desktop","US","female",52,450,2,2,225
"3 - Cash cows",2173200,"organic search","mobile","US","female",35,450,2,2,225
"3 - Cash cows",2562347,"organic search","desktop","US","female",5,450,2,2,225
"3 - Cash cows",1377986,"organic search","desktop","US","female",139,460,2,1,460
"3 - Cash cows",1756865,"direct","desktop","US","male",223,462,5,3,154
"3 - Cash cows",2571068,"direct","desktop","US","female",24,463,3,1,463
"3 - Cash cows",2357520,"email","desktop","US","female",32,469,4,2,234.5
"3 - Cash cows",768147,"direct","desktop","US","female",14,470,5,4,117.5
"3 - Cash cows",1431368,"paid","desktop","US","male",93,482,5,5,96.4
"3 - Cash cows",458716,"email","mobile","US","female",305,488,3,1,488
"3 - Cash cows",1484869,"organic search","desktop","US","female",12,504,3,3,168
"3 - Cash cows",1442879,"email","desktop","US","female",25,512,4,1,512
"3 - Cash cows",1693023,"email","mobile","US","female",46,513,3,1,513
"3 - Cash cows",1363295,"email","mobile","US","female",42,521,3,3,173.67
"3 - Cash cows",488328,"organic search","mobile","US","female",49,524,5,2,262
"3 - Cash cows",1536985,"direct","mobile","US","female",384,530,2,2,265
"3 - Cash cows",1558181,"paid","desktop","US","female",417,530,2,2,265
"3 - Cash cows",1589579,"direct","desktop","US","female",392,530,2,2,265
"3 - Cash cows",1711990,"direct","desktop","US","female",339,530,2,2,265
"3 - Cash cows",2272206,"email","mobile","international","female",47,534,3,1,534
"3 - Cash cows",2322435,"paid","desktop","international","female",19,546,3,3,182
"3 - Cash cows",1415089,"organic search","desktop","US","male",125,547,5,2,273.5
"3 - Cash cows",1338629,"direct","desktop","US","female",103,560,5,5,112
"3 - Cash cows",2194747,"paid","mobile","US","female",2,569,5,5,113.8
"3 - Cash cows",1522316,"paid","mobile","US","female",16,584,4,4,146
"3 - Cash cows",1316827,"other","desktop","US","female",185,589,3,2,294.5
"3 - Cash cows",1549303,"paid","desktop","US","female",29,595,3,2,297.5
"3 - Cash cows",1658882,"email","mobile","US","female",48,609,4,2,304.5
"3 - Cash cows",1347515,"email","mobile","US","female",43,611,3,3,203.67
"3 - Cash cows",1591030,"paid","desktop","US","female",408,628,3,1,628
"3 - Cash cows",1881958,"direct","mobile","US","male",13,639,4,4,159.75
"3 - Cash cows",1399539,"organic search","desktop","US","female",56,698,3,3,232.67
"3 - Cash cows",1612669,"paid","desktop","US","female",73,734,4,4,183.5
"3 - Cash cows",1361832,"organic search","desktop","US","female",48,743,4,4,185.75
"3 - Cash cows",2415610,"email","mobile","US","male",46,792,4,2,396
"4 - New lovers",87397,"direct","desktop","US","female",61,225,1,1,225
"4 - New lovers",810989,"organic search","desktop","US","female",63,225,1,1,225
"4 - New lovers",1361656,"email","desktop","international","female",38,225,1,1,225
"4 - New lovers",1521181,"other","desktop","US","female",65,225,1,1,225
"4 - New lovers",1598533,"other","desktop","international","female",62,225,1,1,225
"4 - New lovers",1727949,"email","desktop","US","female",38,225,1,1,225
"4 - New lovers",1742970,"email","desktop","US","female",56,225,1,1,225
"4 - New lovers",1783253,"direct","mobile","US","female",88,225,1,1,225
