"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1483528,"paid","desktop","US","female",6,1372,14,9,152.44
"2 - High enders",1502394,"paid","desktop","US","female",370,546,7,4,136.5
"2 - High enders",1329977,"other","desktop","US","female",336,493,3,2,246.5
"2 - High enders",2310078,"paid","desktop","US","female",1,484,6,6,80.67
"2 - High enders",2105605,"paid","mobile","US","female",4,437,3,2,218.5
"2 - High enders",1397509,"other","desktop","US","female",126,365,1,1,365
"2 - High enders",1566047,"paid","mobile","US","female",42,355,5,3,118.33
"2 - High enders",1525202,"direct","desktop","US","male",46,336,6,3,112
"2 - High enders",1458411,"organic search","desktop","US","male",27,324,4,2,162
"2 - High enders",524689,"direct","desktop","US","female",6,316,5,5,63.2
"3 - Cash cows",2384392,"direct","desktop","US","male",18,90,2,2,45
"3 - Cash cows",254176,"email","desktop","US","male",28,95,2,1,95
"3 - Cash cows",1678034,"other","desktop","US","male",332,96,2,1,96
"3 - Cash cows",2373832,"direct","desktop","US","female",73,100,2,1,100
"3 - Cash cows",1401048,"direct","desktop","US","female",381,103,2,1,103
"3 - Cash cows",1419543,"organic search","desktop","US","female",147,103,2,1,103
"3 - Cash cows",1440565,"direct","desktop","US","male",379,103,2,1,103
"3 - Cash cows",1644226,"paid","desktop","US","male",379,103,2,1,103
"3 - Cash cows",1646907,"direct","desktop","US","male",33,103,2,1,103
"3 - Cash cows",1428355,"paid","mobile","US","female",344,106,2,1,106
"3 - Cash cows",1608503,"organic search","desktop","US","female",392,106,2,1,106
"3 - Cash cows",664416,"direct","desktop","US","male",14,113,2,1,113
"3 - Cash cows",2165239,"paid","mobile","US","female",16,113,2,1,113
"3 - Cash cows",2452702,"direct","desktop","US","male",49,115,3,1,115
"3 - Cash cows",1437488,"email","mobile","US","female",390,116,3,1,116
"3 - Cash cows",2484266,"email","desktop","US","female",42,116,2,1,116
"3 - Cash cows",2615900,"organic search","mobile","US","female",14,116,2,1,116
"3 - Cash cows",1068144,"direct","mobile","US","female",34,116,2,2,58
"3 - Cash cows",1632099,"paid","desktop","US","male",27,118,2,1,118
"3 - Cash cows",2326993,"organic search","desktop","US","female",52,134,3,2,67
"3 - Cash cows",1880362,"paid","desktop","US","female",17,138,2,1,138
"3 - Cash cows",448625,"direct","desktop","US","male",48,150,4,1,150
"3 - Cash cows",2024394,"organic search","desktop","international","male",64,173,3,1,173
"3 - Cash cows",1967595,"paid","desktop","US","female",28,174,3,1,174
"3 - Cash cows",1668773,"organic search","mobile","US","female",5,176,2,1,176
"3 - Cash cows",1788825,"paid","mobile","US","female",19,176,2,2,88
"3 - Cash cows",1442321,"organic search","desktop","US","male",387,178,2,1,178
"3 - Cash cows",1624718,"direct","desktop","US","female",43,212,4,4,53
"3 - Cash cows",2473892,"paid","desktop","US","male",44,251,5,1,251
"4 - New lovers",586710,"paid","desktop","US","female",24,150,1,1,150
"4 - New lovers",2408615,"other","desktop","US","female",62,150,1,1,150
"4 - New lovers",2585931,"direct","desktop","US","female",17,150,1,1,150
"4 - New lovers",349642,"paid","mobile","US","female",67,88,1,1,88
"4 - New lovers",1302331,"paid","desktop","US","male",72,88,1,1,88
"4 - New lovers",1857192,"organic search","mobile","US","female",16,88,1,1,88
"4 - New lovers",2440619,"direct","desktop","international","female",51,88,1,1,88
"4 - New lovers",2518183,"organic search","desktop","US","male",35,88,1,1,88
"4 - New lovers",2549751,"direct","desktop","US","female",28,88,1,1,88
"4 - New lovers",2550198,"organic search","desktop","US","male",25,88,1,1,88
"4 - New lovers",2605793,"direct","mobile","US","male",16,88,1,1,88
"4 - New lovers",2589600,"direct","desktop","US","female",20,80,2,1,80
"4 - New lovers",2598425,"direct","mobile","US","female",18,80,2,1,80
"4 - New lovers",2598479,"organic search","desktop","US","female",15,80,2,1,80
"4 - New lovers",1951004,"organic search","desktop","international","female",48,78,2,1,78
"4 - New lovers",1928282,"organic search","desktop","US","female",19,76,2,1,76
"4 - New lovers",2332542,"organic search","mobile","US","female",17,76,2,1,76
"4 - New lovers",2562405,"other","desktop","US","male",26,75,2,1,75
"4 - New lovers",1285086,"email","desktop","US","female",17,60,2,1,60
"4 - New lovers",2196639,"direct","mobile","US","female",38,60,1,1,60
"4 - New lovers",2515691,"paid","desktop","US","female",35,60,1,1,60
"4 - New lovers",2598168,"direct","desktop","US","female",18,60,1,1,60
"4 - New lovers",501776,"email","desktop","US","male",64,58,1,1,58
"4 - New lovers",1603939,"direct","desktop","US","male",43,58,1,1,58
"4 - New lovers",1740928,"paid","mobile","US","female",24,58,1,1,58
"4 - New lovers",2273990,"organic search","desktop","US","female",104,58,1,1,58
"4 - New lovers",2392445,"organic search","desktop","US","female",68,58,1,1,58
"4 - New lovers",2442535,"paid","desktop","US","female",52,58,1,1,58
"4 - New lovers",2447350,"paid","desktop","US","female",50,58,1,1,58
"4 - New lovers",2474163,"direct","desktop","US","female",28,58,1,1,58
"4 - New lovers",2485819,"paid","desktop","international","female",42,58,1,1,58
"4 - New lovers",2499885,"direct","mobile","US","female",38,58,1,1,58
"4 - New lovers",2541747,"organic search","desktop","US","male",29,58,1,1,58
"4 - New lovers",2604576,"direct","mobile","US","female",17,58,1,1,58
"4 - New lovers",2330713,"paid","desktop","US","female",6,57,2,1,57
"4 - New lovers",2611962,"organic search","desktop","US","male",15,55,1,1,55
"4 - New lovers",1243101,"email","desktop","US","male",35,50,2,1,50
"4 - New lovers",2053579,"direct","desktop","US","female",37,50,1,1,50
"4 - New lovers",2419240,"direct","desktop","US","male",50,50,1,1,50
"4 - New lovers",1829147,"direct","desktop","US","female",12,45,1,1,45
"4 - New lovers",2608294,"direct","desktop","US","female",16,45,1,1,45
"4 - New lovers",2613748,"other","mobile","US","male",14,45,1,1,45
"4 - New lovers",1640126,"organic search","desktop","US","male",19,40,1,1,40
"4 - New lovers",2224187,"paid","desktop","US","female",113,80,5,2,40
"4 - New lovers",2517116,"direct","desktop","US","female",35,40,1,1,40
"4 - New lovers",2546251,"direct","desktop","US","female",28,40,1,1,40
"4 - New lovers",2605364,"paid","desktop","US","female",16,40,1,1,40
"4 - New lovers",559220,"email","mobile","US","male",10,38,1,1,38
"4 - New lovers",1696159,"paid","mobile","US","female",50,38,1,1,38
"4 - New lovers",2449699,"paid","desktop","US","female",50,38,1,1,38
"4 - New lovers",2631258,"paid","desktop","US","female",9,38,1,1,38
"4 - New lovers",1653973,"direct","desktop","US","male",30,35,1,1,35
"4 - New lovers",1667690,"email","desktop","international","female",17,35,1,1,35
"4 - New lovers",2575890,"direct","desktop","US","female",19,35,1,1,35
"4 - New lovers",2579953,"paid","desktop","US","female",22,35,1,1,35
"4 - New lovers",2585609,"organic search","desktop","US","female",21,35,1,1,35
"4 - New lovers",2594948,"direct","desktop","US","female",17,35,1,1,35
"4 - New lovers",2600279,"email","desktop","US","female",18,70,2,2,35
"4 - New lovers",2664730,"organic search","desktop","international","male",1,35,1,1,35
"4 - New lovers",2138482,"organic search","desktop","US","male",136,56,2,2,28
"4 - New lovers",1718402,"organic search","mobile","US","female",42,25,1,1,25
"4 - New lovers",2205664,"other","mobile","US","male",25,25,1,1,25
"4 - New lovers",2330659,"paid","desktop","US","female",42,25,1,1,25
"4 - New lovers",2354544,"other","mobile","US","female",53,25,1,1,25
"4 - New lovers",2515823,"organic search","desktop","US","male",25,50,2,2,25
"4 - New lovers",2520366,"organic search","mobile","US","female",33,25,1,1,25
"4 - New lovers",2536668,"direct","desktop","US","female",30,25,1,1,25
"4 - New lovers",2563928,"organic search","desktop","US","male",26,25,1,1,25
"4 - New lovers",2576771,"direct","mobile","US","male",23,25,1,1,25
"4 - New lovers",2580575,"direct","desktop","US","male",21,25,1,1,25
"4 - New lovers",2623631,"organic search","desktop","US","male",12,25,1,1,25
"4 - New lovers",2651829,"organic search","desktop","US","female",5,20,1,1,20
"4 - New lovers",2207192,"other","desktop","US","male",126,16,1,1,16
"4 - New lovers",2216452,"direct","desktop","US","male",104,16,1,1,16
"4 - New lovers",2329304,"organic search","desktop","US","female",89,16,1,1,16
"5 - Recent lovers",1442879,"email","desktop","US","female",25,115,3,1,115
"5 - Recent lovers",1589421,"direct","desktop","US","female",22,108,2,1,108
"5 - Recent lovers",2189258,"organic search","mobile","US","female",27,93,2,1,93
"5 - Recent lovers",718243,"email","mobile","US","female",14,88,1,1,88
"5 - Recent lovers",1738704,"direct","desktop","international","female",25,88,1,1,88
"5 - Recent lovers",2338345,"direct","desktop","US","male",17,88,1,1,88
"5 - Recent lovers",2423055,"paid","desktop","US","female",20,88,1,1,88
"5 - Recent lovers",1345616,"paid","desktop","US","female",30,85,2,1,85
"5 - Recent lovers",1833852,"paid","desktop","US","female",25,80,2,1,80
"5 - Recent lovers",704594,"paid","desktop","US","female",26,60,2,1,60
"5 - Recent lovers",2419099,"direct","desktop","US","male",17,60,1,1,60
"5 - Recent lovers",1298402,"direct","desktop","US","female",23,58,1,1,58
"5 - Recent lovers",2618728,"paid","mobile","US","male",6,58,1,1,58
"5 - Recent lovers",2524872,"direct","desktop","US","female",4,46,1,1,46
"5 - Recent lovers",1313452,"organic search","mobile","US","male",14,45,1,1,45
"5 - Recent lovers",1465955,"organic search","mobile","international","male",18,45,1,1,45
"5 - Recent lovers",2175477,"organic search","desktop","US","female",26,45,1,1,45
"5 - Recent lovers",598353,"email","desktop","US","female",20,40,1,1,40
"5 - Recent lovers",1717012,"paid","desktop","US","female",18,40,1,1,40
"5 - Recent lovers",2599045,"direct","mobile","US","female",17,40,1,1,40
"5 - Recent lovers",1191598,"direct","desktop","US","female",18,76,2,2,38
"5 - Recent lovers",1500021,"paid","desktop","US","female",18,38,1,1,38
"5 - Recent lovers",1833388,"paid","mobile","US","female",18,76,2,2,38
"5 - Recent lovers",676812,"organic search","mobile","US","female",17,35,1,1,35
"5 - Recent lovers",768147,"direct","desktop","US","female",14,35,1,1,35
"5 - Recent lovers",1671126,"organic search","desktop","US","female",14,35,1,1,35
"5 - Recent lovers",2337124,"paid","desktop","US","female",19,35,1,1,35
"5 - Recent lovers",1247160,"paid","desktop","US","female",3,32,1,1,32
"5 - Recent lovers",1653635,"organic search","desktop","US","female",6,25,1,1,25
"5 - Recent lovers",1822567,"direct","desktop","US","female",14,25,1,1,25
"5 - Recent lovers",2589259,"paid","mobile","US","female",20,25,1,1,25
"5 - Recent lovers",2465765,"paid","desktop","US","female",6,20,1,1,20
