"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1525202,"direct","desktop","US","male",46,568,7,4,142
"1 - Stars",1586774,"direct","desktop","US","female",281,318,4,3,106
"1 - Stars",1733189,"organic search","desktop","US","female",44,294,3,3,98
"1 - Stars",1738876,"paid","desktop","US","female",301,294,3,3,98
"1 - Stars",1510095,"paid","desktop","US","female",86,278,3,3,92.67
"2 - High enders",1576624,"paid","desktop","US","female",74,248,3,3,82.67
"1 - Stars",2085259,"organic search","mobile","US","female",159,240,2,2,120
"1 - Stars",1588460,"direct","desktop","US","female",349,230,3,1,230
"2 - High enders",973117,"other","desktop","US","female",79,218,2,2,109
"1 - Stars",1215949,"direct","desktop","US","female",44,218,2,2,109
"2 - High enders",1429978,"organic search","desktop","US","female",13,218,2,2,109
"2 - High enders",1462133,"direct","desktop","US","female",6,218,4,3,72.67
"1 - Stars",1423251,"direct","desktop","US","female",379,203,3,1,203
"2 - High enders",1828033,"direct","mobile","international","female",12,196,2,1,196
"2 - High enders",1253865,"direct","desktop","US","female",394,196,2,2,98
"2 - High enders",1387977,"organic search","desktop","US","female",28,196,2,2,98
"2 - High enders",1776255,"paid","mobile","US","female",7,196,2,2,98
"3 - Cash cows",1585295,"organic search","desktop","US","female",401,100,2,2,50
"3 - Cash cows",1638613,"organic search","desktop","US","male",382,120,2,1,120
"3 - Cash cows",1965286,"organic search","desktop","US","female",233,136,2,1,136
"4 - New lovers",1915794,"paid","desktop","US","female",97,120,1,1,120
"4 - New lovers",2182608,"organic search","desktop","US","female",23,120,1,1,120
"4 - New lovers",2574987,"direct","desktop","US","female",23,120,1,1,120
"4 - New lovers",654758,"organic search","mobile","US","female",161,98,1,1,98
"4 - New lovers",702436,"organic search","desktop","US","female",116,98,1,1,98
"4 - New lovers",1025860,"organic search","desktop","US","female",16,98,1,1,98
"4 - New lovers",1305794,"direct","desktop","US","female",208,98,1,1,98
"4 - New lovers",1525905,"direct","mobile","US","male",173,98,1,1,98
"4 - New lovers",1794845,"paid","desktop","US","female",178,98,1,1,98
"4 - New lovers",2088875,"direct","desktop","US","female",169,98,1,1,98
"4 - New lovers",2115443,"organic search","mobile","US","female",122,98,1,1,98
"4 - New lovers",2135984,"email","desktop","US","female",14,98,1,1,98
"4 - New lovers",2140540,"organic search","desktop","US","female",148,98,1,1,98
"4 - New lovers",2191193,"organic search","mobile","international","female",43,98,1,1,98
"4 - New lovers",2192786,"paid","desktop","US","female",130,98,1,1,98
"4 - New lovers",2215495,"paid","desktop","international","male",123,98,1,1,98
"4 - New lovers",2359777,"paid","desktop","US","female",79,98,1,1,98
"4 - New lovers",2485970,"direct","desktop","US","female",32,98,1,1,98
"4 - New lovers",2569901,"organic search","desktop","US","female",25,98,1,1,98
"4 - New lovers",2583012,"direct","mobile","US","female",21,98,1,1,98
"4 - New lovers",2601839,"direct","desktop","US","male",17,98,1,1,98
"4 - New lovers",2645178,"paid","desktop","US","female",6,98,1,1,98
"5 - Recent lovers",306176,"email","desktop","US","male",24,120,2,1,120
"5 - Recent lovers",1571756,"paid","desktop","US","female",17,98,1,1,98
"5 - Recent lovers",1878697,"direct","desktop","US","male",20,98,1,1,98
"5 - Recent lovers",1892682,"email","desktop","US","female",11,98,1,1,98
"5 - Recent lovers",2598165,"email","desktop","US","female",17,98,1,1,98
