"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"1 - Stars",2310078,"paid","desktop","US","female",1,9352,95,66,141.7
"1 - Stars",524689,"direct","desktop","US","female",6,3485,30,20,174.25
"1 - Stars",1357604,"paid","mobile","US","female",23,3269,26,17,192.29
"2 - High enders",1576624,"paid","desktop","US","female",74,3099,29,26,119.19
"1 - Stars",1743144,"paid","desktop","US","female",31,2542,21,8,317.75
"2 - High enders",1483528,"paid","desktop","US","female",6,2359,19,15,157.27
"1 - Stars",482580,"email","desktop","US","female",141,2068,16,3,689.33
"1 - Stars",1566047,"paid","mobile","US","female",42,1965,20,10,196.5
"1 - Stars",1569924,"paid","desktop","US","female",16,1929,15,5,385.8
"1 - Stars",1523395,"email","desktop","US","female",18,1880,14,7,268.57
"3 - Cash cows",2438604,"organic search","desktop","US","female",53,236,3,1,236
"3 - Cash cows",2028309,"direct","desktop","international","female",115,236,3,2,118
"3 - Cash cows",1324573,"other","desktop","US","female",463,238,3,1,238
"3 - Cash cows",1121533,"direct","desktop","US","male",346,243,3,2,121.5
"3 - Cash cows",1714375,"paid","desktop","US","female",6,244,3,2,122
"3 - Cash cows",1735723,"paid","desktop","US","female",83,244,3,2,122
"3 - Cash cows",1640771,"other","mobile","US","female",73,248,3,1,248
"3 - Cash cows",2440248,"direct","mobile","international","male",6,249,4,1,249
"3 - Cash cows",2063765,"paid","desktop","US","female",144,250,3,1,250
"3 - Cash cows",1689415,"paid","desktop","US","female",234,250,3,2,125
"3 - Cash cows",1727280,"direct","desktop","US","female",22,251,3,3,83.67
"3 - Cash cows",2642144,"organic search","desktop","international","female",6,252,4,1,252
"3 - Cash cows",1384389,"direct","desktop","US","female",469,254,3,1,254
"3 - Cash cows",1564665,"organic search","mobile","international","female",367,254,3,2,127
"3 - Cash cows",1444350,"organic search","desktop","US","female",451,256,3,1,256
"3 - Cash cows",1515209,"direct","desktop","US","female",454,256,3,1,256
"3 - Cash cows",1579723,"organic search","desktop","international","female",365,256,3,1,256
"3 - Cash cows",1659786,"direct","desktop","US","female",155,256,3,1,256
"3 - Cash cows",2251917,"paid","desktop","international","female",110,256,3,1,256
"3 - Cash cows",576946,"organic search","desktop","US","female",381,258,3,1,258
"3 - Cash cows",2230319,"organic search","mobile","US","female",112,260,3,1,260
"3 - Cash cows",2513724,"email","mobile","US","female",4,260,3,1,260
"3 - Cash cows",2398771,"paid","desktop","US","female",20,260,3,3,86.67
"3 - Cash cows",2168806,"paid","desktop","US","female",5,261,4,3,87
"3 - Cash cows",1676291,"organic search","desktop","US","female",98,264,3,2,132
"3 - Cash cows",2136888,"direct","desktop","US","female",141,264,4,2,132
"3 - Cash cows",2261510,"organic search","desktop","US","female",6,264,3,3,88
"3 - Cash cows",1760257,"organic search","desktop","US","female",81,265,3,2,132.5
"3 - Cash cows",1298402,"direct","desktop","US","female",23,266,3,2,133
"3 - Cash cows",2121666,"direct","desktop","US","female",29,266,3,2,133
"3 - Cash cows",1318540,"organic search","desktop","US","female",4,267,3,2,133.5
"3 - Cash cows",2328834,"direct","desktop","US","female",89,268,3,1,268
"3 - Cash cows",346528,"paid","desktop","US","female",27,268,3,2,134
"3 - Cash cows",1359629,"organic search","desktop","US","female",390,268,3,2,134
"3 - Cash cows",2216731,"paid","desktop","US","female",59,268,3,2,134
"3 - Cash cows",1669343,"email","mobile","US","female",34,268,3,3,89.33
"3 - Cash cows",1632928,"organic search","desktop","US","female",18,269,3,2,134.5
"3 - Cash cows",1604936,"direct","desktop","US","female",280,270,3,2,135
"3 - Cash cows",1493040,"paid","desktop","US","female",263,270,3,3,90
"3 - Cash cows",1495070,"organic search","desktop","US","female",43,270,4,3,90
"3 - Cash cows",1055665,"direct","desktop","US","female",88,271,3,1,271
"3 - Cash cows",1553956,"email","desktop","US","female",306,273,3,2,136.5
"3 - Cash cows",1601568,"paid","desktop","US","female",2,274,3,2,137
"3 - Cash cows",1302096,"direct","desktop","US","female",29,276,3,2,138
"3 - Cash cows",1419800,"organic search","mobile","US","female",376,276,3,3,92
"3 - Cash cows",1570709,"direct","desktop","US","female",39,276,3,3,92
"3 - Cash cows",728267,"paid","mobile","US","female",35,278,3,1,278
"3 - Cash cows",2499842,"direct","desktop","US","female",21,278,3,2,139
"3 - Cash cows",2014845,"paid","desktop","US","female",32,278,5,3,92.67
"3 - Cash cows",830383,"paid","desktop","US","female",25,280,4,3,93.33
"3 - Cash cows",1391635,"organic search","desktop","US","female",102,280,3,3,93.33
"3 - Cash cows",2365431,"paid","desktop","US","female",12,280,3,3,93.33
"3 - Cash cows",1810677,"paid","desktop","US","female",302,281,3,1,281
"3 - Cash cows",1304786,"organic search","mobile","US","female",360,283,3,2,141.5
"3 - Cash cows",2331597,"other","desktop","international","female",33,283,3,3,94.33
"3 - Cash cows",992707,"paid","desktop","US","female",6,284,4,2,142
"3 - Cash cows",1079245,"organic search","desktop","US","female",477,285,3,1,285
"3 - Cash cows",2275852,"organic search","desktop","US","female",103,285,3,1,285
"3 - Cash cows",1512058,"organic search","desktop","US","female",421,285,3,2,142.5
"3 - Cash cows",2053816,"organic search","desktop","US","female",11,285,3,3,95
"3 - Cash cows",1771038,"organic search","desktop","US","female",320,286,3,1,286
"3 - Cash cows",1395195,"other","desktop","international","female",21,288,3,1,288
"3 - Cash cows",1659017,"organic search","mobile","US","female",318,288,3,3,96
"3 - Cash cows",1315331,"organic search","desktop","US","female",228,291,3,3,97
"3 - Cash cows",1007871,"organic search","desktop","US","female",17,292,3,3,97.33
"3 - Cash cows",1525423,"direct","desktop","US","female",131,293,5,1,293
"3 - Cash cows",1383542,"other","desktop","US","female",385,293,3,2,146.5
"3 - Cash cows",1893167,"paid","desktop","US","female",246,294,3,2,147
"3 - Cash cows",1520355,"direct","desktop","US","female",6,295,3,3,98.33
"3 - Cash cows",1569616,"organic search","desktop","international","female",81,296,3,2,148
"3 - Cash cows",1076270,"direct","desktop","US","female",419,298,3,1,298
"3 - Cash cows",1682431,"organic search","desktop","US","female",15,298,3,1,298
"3 - Cash cows",1882050,"organic search","desktop","international","female",80,298,3,1,298
"3 - Cash cows",1492464,"paid","desktop","US","female",140,298,4,2,149
"3 - Cash cows",1819622,"paid","desktop","US","female",28,298,3,2,149
"3 - Cash cows",2080221,"organic search","mobile","US","female",30,298,3,2,149
"3 - Cash cows",2464721,"organic search","desktop","US","female",16,298,3,2,149
"3 - Cash cows",1423893,"organic search","desktop","US","male",18,300,3,1,300
"3 - Cash cows",1430083,"organic search","desktop","US","male",436,300,3,1,300
"3 - Cash cows",1507132,"paid","desktop","US","female",57,300,3,1,300
"3 - Cash cows",1580504,"email","mobile","US","female",28,300,3,1,300
"3 - Cash cows",1614278,"organic search","desktop","US","female",338,300,3,1,300
"3 - Cash cows",1795194,"email","desktop","US","male",97,300,3,1,300
"3 - Cash cows",2053354,"email","mobile","US","female",60,300,3,1,300
