"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1576624,"paid","desktop","US","female",74,1151,16,13,88.54
"1 - Stars",1870788,"direct","desktop","US","female",25,1116,12,6,186
"1 - Stars",1679443,"organic search","mobile","US","female",46,1027,9,6,171.17
"1 - Stars",908949,"direct","desktop","US","female",108,955,11,5,191
"1 - Stars",1828033,"direct","mobile","international","female",12,887,10,5,177.4
"1 - Stars",1504741,"organic search","desktop","US","female",50,761,7,4,190.25
"2 - High enders",524689,"direct","desktop","US","female",6,757,9,8,94.62
"1 - Stars",1854829,"paid","desktop","US","female",237,746,8,3,248.67
"1 - Stars",1439149,"organic search","desktop","US","female",229,717,8,1,717
"2 - High enders",1743144,"paid","desktop","US","female",31,676,6,4,169
"3 - Cash cows",688766,"organic search","desktop","US","female",7,167,2,1,167
"3 - Cash cows",1587321,"organic search","desktop","US","female",3,167,2,2,83.5
"3 - Cash cows",2257922,"paid","desktop","US","female",98,168,2,2,84
"3 - Cash cows",10386,"organic search","desktop","US","female",174,173,2,2,86.5
"3 - Cash cows",2313835,"paid","mobile","US","female",27,173,4,2,86.5
"3 - Cash cows",1000916,"direct","desktop","US","female",153,176,2,1,176
"3 - Cash cows",1420553,"direct","desktop","international","female",228,176,2,1,176
"3 - Cash cows",1431554,"direct","desktop","US","female",173,176,2,1,176
"3 - Cash cows",1509497,"paid","desktop","US","female",213,176,2,1,176
"3 - Cash cows",1896226,"organic search","desktop","US","female",146,176,2,1,176
"3 - Cash cows",1973284,"organic search","desktop","US","female",229,176,2,1,176
"3 - Cash cows",2045399,"direct","mobile","US","female",92,176,2,1,176
"3 - Cash cows",2053979,"organic search","desktop","US","female",186,176,2,1,176
"3 - Cash cows",2086319,"paid","desktop","US","female",170,176,2,1,176
"3 - Cash cows",1420607,"direct","desktop","US","female",518,176,2,2,88
"3 - Cash cows",1874740,"direct","desktop","US","female",52,176,2,2,88
"3 - Cash cows",1973163,"email","desktop","US","female",87,176,2,2,88
"3 - Cash cows",1941386,"paid","mobile","US","female",244,180,2,1,180
"3 - Cash cows",2248994,"organic search","desktop","US","female",39,182,2,1,182
"3 - Cash cows",1439578,"organic search","desktop","US","female",77,183,2,2,91.5
"3 - Cash cows",2048054,"other","mobile","US","female",124,185,2,2,92.5
"3 - Cash cows",431032,"email","desktop","US","female",2,186,2,1,186
"3 - Cash cows",1757198,"email","mobile","US","female",154,186,2,1,186
"3 - Cash cows",2048913,"paid","desktop","international","female",188,186,2,1,186
"3 - Cash cows",2388201,"paid","desktop","international","female",69,186,2,1,186
"3 - Cash cows",2428142,"organic search","desktop","US","female",56,186,2,1,186
"3 - Cash cows",1776471,"paid","desktop","US","female",168,186,2,2,93
"3 - Cash cows",2357959,"organic search","mobile","US","female",48,186,2,2,93
"3 - Cash cows",1536506,"organic search","desktop","US","female",353,190,2,2,95
"3 - Cash cows",1859480,"organic search","desktop","international","female",62,192,3,1,192
"3 - Cash cows",1381459,"organic search","desktop","US","female",6,194,2,2,97
"3 - Cash cows",1456147,"paid","mobile","US","female",507,196,2,1,196
"3 - Cash cows",2039062,"paid","mobile","US","female",190,196,2,1,196
"3 - Cash cows",2261385,"paid","desktop","US","female",104,196,2,1,196
"3 - Cash cows",1302074,"other","desktop","US","female",111,196,2,2,98
"3 - Cash cows",1371730,"paid","desktop","US","female",59,196,2,2,98
"3 - Cash cows",1618997,"paid","mobile","US","female",56,196,2,2,98
"3 - Cash cows",1661146,"direct","desktop","US","female",6,196,2,2,98
"3 - Cash cows",1893962,"paid","desktop","US","female",107,196,2,2,98
"3 - Cash cows",2216764,"email","desktop","US","female",112,196,2,2,98
"3 - Cash cows",1331876,"organic search","desktop","US","female",250,203,2,1,203
"3 - Cash cows",2143650,"direct","mobile","US","female",147,203,2,1,203
"3 - Cash cows",2240374,"organic search","desktop","US","female",114,203,2,1,203
"3 - Cash cows",1787439,"organic search","mobile","US","female",163,204,3,2,102
"3 - Cash cows",1538815,"direct","desktop","US","female",16,205,2,1,205
"3 - Cash cows",1589689,"paid","mobile","US","female",235,205,3,2,102.5
"3 - Cash cows",2577497,"organic search","desktop","US","female",12,206,3,2,103
"3 - Cash cows",1488864,"paid","mobile","US","female",476,208,2,1,208
"3 - Cash cows",87728,"email","mobile","international","female",500,210,3,1,210
"3 - Cash cows",1623281,"direct","desktop","US","female",12,213,2,1,213
"3 - Cash cows",1979638,"organic search","desktop","international","female",226,215,3,1,215
"3 - Cash cows",1064161,"other","mobile","US","female",154,220,2,1,220
"3 - Cash cows",2332242,"paid","mobile","US","female",88,220,2,1,220
"3 - Cash cows",1443153,"paid","desktop","US","female",523,220,3,2,110
"3 - Cash cows",2088710,"direct","desktop","US","female",149,223,2,1,223
"3 - Cash cows",2139773,"direct","desktop","US","female",148,223,2,1,223
"3 - Cash cows",2249813,"paid","desktop","US","female",112,223,2,1,223
"3 - Cash cows",1096080,"organic search","desktop","US","female",94,229,2,1,229
"3 - Cash cows",1379870,"paid","desktop","US","female",38,233,3,3,77.67
"3 - Cash cows",1918721,"organic search","mobile","international","female",254,235,2,1,235
"3 - Cash cows",2101192,"direct","desktop","US","female",164,235,2,1,235
"3 - Cash cows",1488017,"organic search","mobile","international","female",5,237,3,2,118.5
"3 - Cash cows",1985870,"direct","desktop","US","female",83,238,3,2,119
"3 - Cash cows",1262944,"email","mobile","US","female",156,240,2,2,120
"3 - Cash cows",1611070,"direct","mobile","US","female",161,244,3,2,122
"3 - Cash cows",2145921,"organic search","desktop","US","female",146,245,3,1,245
"3 - Cash cows",493732,"organic search","mobile","US","female",6,247,4,2,123.5
"3 - Cash cows",1438710,"organic search","desktop","US","female",71,248,3,2,124
"3 - Cash cows",1461987,"paid","desktop","US","female",464,248,3,2,124
"3 - Cash cows",1408169,"paid","desktop","US","female",277,248,3,3,82.67
"3 - Cash cows",1617064,"paid","desktop","US","female",187,250,2,1,250
"3 - Cash cows",1927271,"email","mobile","international","female",250,250,2,1,250
"3 - Cash cows",2034110,"organic search","desktop","US","female",195,250,2,1,250
"3 - Cash cows",2206220,"direct","desktop","US","female",97,250,2,1,250
"3 - Cash cows",1523860,"other","desktop","US","female",169,250,2,2,125
"3 - Cash cows",2154147,"paid","mobile","international","female",4,250,2,2,125
"3 - Cash cows",2119431,"organic search","desktop","US","female",156,251,3,1,251
"3 - Cash cows",1385745,"paid","desktop","US","female",93,251,3,2,125.5
"3 - Cash cows",414911,"paid","desktop","US","female",50,254,3,1,254
"3 - Cash cows",2011609,"email","desktop","US","female",208,254,3,1,254
"3 - Cash cows",1426167,"organic search","desktop","US","female",308,255,3,2,127.5
"3 - Cash cows",1412804,"organic search","mobile","US","female",436,260,2,2,130
"3 - Cash cows",1989027,"paid","desktop","US","female",221,264,3,1,264
"3 - Cash cows",1763531,"paid","desktop","US","female",74,264,3,2,132
"3 - Cash cows",1854385,"organic search","mobile","US","female",27,264,3,2,132
"3 - Cash cows",2507408,"direct","desktop","international","female",5,265,4,2,132.5
"3 - Cash cows",1477676,"organic search","desktop","US","female",62,272,3,3,90.67
"3 - Cash cows",1323131,"other","desktop","US","female",98,274,3,1,274
"3 - Cash cows",751287,"paid","desktop","US","female",137,274,3,2,137
"3 - Cash cows",1490238,"paid","desktop","US","female",127,274,3,2,137
"3 - Cash cows",2013117,"organic search","desktop","US","female",63,274,3,2,137
"3 - Cash cows",1445566,"organic search","desktop","US","female",148,274,3,3,91.33
"3 - Cash cows",1864279,"organic search","mobile","US","female",77,274,3,3,91.33
"3 - Cash cows",1412965,"direct","desktop","US","female",6,281,4,1,281
"3 - Cash cows",87536,"direct","desktop","US","female",502,281,3,2,140.5
"3 - Cash cows",1499027,"organic search","desktop","US","female",236,284,3,1,284
"3 - Cash cows",1772276,"email","desktop","US","female",129,287,3,2,143.5
"3 - Cash cows",1292850,"paid","desktop","US","female",50,291,4,4,72.75
"3 - Cash cows",1444368,"paid","desktop","US","female",508,293,3,1,293
"3 - Cash cows",2392323,"paid","desktop","US","female",68,294,3,1,294
"3 - Cash cows",1458554,"direct","desktop","US","female",492,310,3,2,155
"3 - Cash cows",1797597,"email","mobile","US","female",138,321,3,2,160.5
"3 - Cash cows",1931380,"organic search","mobile","US","female",102,338,3,2,169
"3 - Cash cows",2134821,"organic search","mobile","US","female",43,347,4,3,115.67
"3 - Cash cows",1505575,"paid","mobile","US","female",13,348,3,1,348
"3 - Cash cows",2190748,"organic search","mobile","US","female",53,352,4,2,176
"3 - Cash cows",2292337,"other","desktop","international","female",57,352,4,2,176
"3 - Cash cows",1911243,"organic search","desktop","US","female",223,361,4,1,361
"3 - Cash cows",2151303,"paid","mobile","US","female",81,362,4,2,181
"3 - Cash cows",1824511,"organic search","desktop","US","female",23,362,4,3,120.67
"3 - Cash cows",1042529,"organic search","desktop","international","female",117,372,4,2,186
"3 - Cash cows",1199133,"direct","desktop","international","female",17,372,5,4,93
"3 - Cash cows",2009888,"organic search","desktop","US","female",193,375,3,3,125
"3 - Cash cows",1428441,"direct","desktop","US","female",45,378,5,4,94.5
"3 - Cash cows",238140,"paid","desktop","US","female",76,392,4,1,392
"3 - Cash cows",514238,"organic search","mobile","US","female",475,393,5,2,196.5
"3 - Cash cows",1450416,"paid","desktop","US","female",103,406,4,3,135.33
"3 - Cash cows",1353144,"paid","mobile","US","female",6,416,6,3,138.67
"3 - Cash cows",954712,"direct","desktop","international","female",62,419,4,4,104.75
"3 - Cash cows",652198,"paid","mobile","US","female",14,428,6,2,214
"3 - Cash cows",1712774,"organic search","desktop","international","female",6,428,5,4,107
"3 - Cash cows",1322035,"paid","desktop","US","female",55,448,5,4,112
"3 - Cash cows",1680164,"direct","mobile","US","female",70,458,4,2,229
"3 - Cash cows",769574,"direct","desktop","US","female",497,476,6,1,476
"3 - Cash cows",1456514,"direct","desktop","US","female",130,490,5,5,98
"3 - Cash cows",1647435,"direct","desktop","US","female",227,500,4,3,166.67
"3 - Cash cows",1899614,"paid","desktop","US","female",262,510,6,1,510
"3 - Cash cows",687765,"email","mobile","US","female",3,527,5,4,131.75
"3 - Cash cows",2105119,"organic search","mobile","US","female",16,544,5,4,136
"3 - Cash cows",1272512,"organic search","desktop","US","female",237,599,6,1,599
"3 - Cash cows",1866880,"organic search","desktop","US","female",34,613,6,3,204.33
"3 - Cash cows",1426350,"direct","mobile","international","female",194,619,7,4,154.75
"3 - Cash cows",497307,"email","desktop","US","female",6,627,8,5,125.4
"3 - Cash cows",1305813,"organic search","mobile","US","female",153,637,7,2,318.5
"3 - Cash cows",1841403,"paid","desktop","US","female",174,644,8,5,128.8
"3 - Cash cows",551188,"paid","mobile","US","female",126,667,9,8,83.38
"4 - New lovers",2055686,"direct","desktop","US","female",185,166,2,1,166
"4 - New lovers",2078941,"direct","desktop","US","female",173,163,2,1,163
"4 - New lovers",2426794,"paid","desktop","US","female",11,156,2,1,156
"4 - New lovers",2025279,"paid","desktop","US","female",33,134,2,1,134
"4 - New lovers",2560908,"direct","desktop","US","female",27,128,2,1,128
"4 - New lovers",2018465,"paid","mobile","US","female",197,125,1,1,125
"4 - New lovers",2031662,"paid","desktop","US","female",196,125,1,1,125
"4 - New lovers",2207542,"paid","mobile","US","female",125,110,1,1,110
"4 - New lovers",2333148,"direct","mobile","US","female",76,110,1,1,110
"4 - New lovers",2570919,"email","desktop","US","female",24,100,2,1,100
"4 - New lovers",553628,"other","desktop","US","female",188,98,1,1,98
"4 - New lovers",1380658,"paid","desktop","US","female",128,98,1,1,98
"4 - New lovers",1416286,"organic search","desktop","US","female",147,98,1,1,98
"4 - New lovers",1461632,"organic search","desktop","US","female",14,98,1,1,98
"4 - New lovers",1473412,"email","mobile","US","female",116,98,1,1,98
